Number	Votes	Question
Q1	5	Add plugin for WildFly Application Server to NetBeans
Q2	4	Can&#39;t debug in NetBeans after switching to Gradle
Q3	3	How to turn off a key listener in NetBeans wizard panels?
Q4	3	Netbeans Platform application using the plugin system
Q5	3	Netbeans platform - mark code?
Q6	2	How to calculate depth of conditional nesting using netbeans
Q7	2	Netbeans and Bad service configuration file  or exception thrown while constructing Processor object
Q8	2	Adding additional files to an Inno based setup for a Netbeans application
Q9	2	How do I handle file saves properly in NetBeans platform project (plugin)
Q10	2	Java Me platform issues in NetBeans
