Number	Votes	Question
Q1	14	Does Java reordering affect System.currentTimeMillis()?
Q2	14	Creating object using static keyword in Java
Q3	4	Ordering an array with special characters like accents
Q4	3	Oracle equivalent sort in Java
Q5	3	Unexpected runtime error in simple Java code
Q6	3	Order of addition in Java
Q7	2	I need help about pass a child as a father in a method [Java]
Q8	2	Weighted Randomized Ordering
Q9	2	Regex fall through in Java
Q10	2	Comparing Java Strings with the `compareTo()` method
