Number	Votes	Question
Q1	4	Overriding CellRenderer  ImageIcon dissapears
Q2	3	Moving a background image in Swing
Q3	3	Collision Detection between a Oval and Arc
Q4	3	What is the default color when I run the paint method
Q5	2	What is an effective way of painting hundreds of images to a JFrame at a time?
Q6	2	Adding shapes to JPanel on a button click
Q7	2	A glitch with Edge label offset
Q8	2	Custom painting JPanel offsets the drawing
Q9	2	String font size smaller when calling repaint()
Q10	2	I&#39;m trying to draw a string in JFrame  but it won&#39;t work.. Help please
