Number	Votes	Question
Q1	3	Write arabic caracters with PDFBOX
Q2	3	PDFBox is half available
Q3	2	Superscript and subscript differentiation using pdf box
Q4	2	Clip and create new pdf from existing pdf with page numbers as input - pdfbox
Q5	2	Replace PDF page using PDFBox
Q6	2	PDFBox: Convert Document to PDDocument
Q7	2	How to concatenate two pdfs and retain bookmarks and pdf/a compliance using pdfbox?
Q8	2	Setting a text style to underlined in PDFBox
Q9	2	How can I get Images coordinates in pdf into JSONfile?
Q10	2	How do I merge multiple  small PDF&#39;s into a single one using PDFBox without running out of heap space?
