Number	Votes	Question
Q1	29	C++ and PHP vs C# and Java - unequal results
Q2	8	Sending messages(notification) to a group - Android
Q3	6	Android app post everyThing except posted file
Q4	4	Android application login and registration error
Q5	4	How to save image through capturing in android to php?
Q6	4	Is there a PHP like short version of the ternary operator in Java?
Q7	4	Multiple stdin/stdout actions during one process call
Q8	3	Send data from java android to webserver with post method
Q9	3	PHP On EC2 hangs
Q10	3	How can I implement library which will supports data types for variables in PHP 5.x.x ? Instead of loose datatype binding in PHP
