Number	Votes	Question
Q1	4	jar build using maven showing error
Q2	4	Hiding manifest entries with maven
Q3	4	Can a Bamboo project be configured to use the Maven developers section to send build notifications?
Q4	4	Adding AspectJ to pom.xml changed Java version with Maven  why?
Q5	3	Gradle Android Maven Plugin doesn&#39;t create the pom file automatically
Q6	3	How to generate 1 report with findbugs-maven-plugin?
Q7	3	Cyclic reference error in maven
Q8	2	Remove unnecessary dependencies in POM
Q9	2	Maven - Install project dependencies without building
Q10	2	Maven -- is there a command to download the parent poms of all dependency jars?
