Number	Votes	Question
Q1	12	Can&#39;t print text file using Java 8 in Windows 7
Q2	7	Printing to a physical form -- need basic understanding
Q3	6	PDF PrinterJob get Job status
Q4	6	Why is the prompt in my for loop printing twice the first time?
Q5	5	Printing a 1800 x 1200 image on 4 x 6 paper using Java
Q6	3	printing Player objects of an array in java
Q7	3	&quot;Random&quot; generated documents fail to print
Q8	3	Print cross pattern in Java
Q9	3	Railo Java Printing
Q10	3	Printing Arrays/Reverse Array
