Number	Votes	Question
Q1	8	Two-criteria priority queue
Q2	7	Sorting Priority Queue in Java
Q3	5	Schedule multiple async task in android
Q4	3	given an input array and sum  return the minimum elements need to get sum
Q5	3	Making a Java PriorityQueue into a stable priority queue
Q6	2	Use PriorityQueue as a minHeap
Q7	2	rabbitmq-priority-queue plugin install issue
Q8	2	PriorityQueue order is not correct JAVA
Q9	2	Instantiate a priority queue with a comparator from spring
Q10	2	How can I modify an element of a PriorityQueue in Java?
