Number	Votes	Question
Q1	20	fibonacci works in python but fails in Java
Q2	14	Redux: How do I get Jython to use Python modules stored in Lib within its own jar file when running in Hadoop?
Q3	14	Java or Python for Natural Language Processing
Q4	9	youtube-dl in Android
Q5	6	Can a Java GUI control a Python backend?
Q6	6	Good way to build a blocking  zero-length queue in Python
Q7	6	java.net.SocketException: sendto failed: EPIPE (Broken pipe) on Android
Q8	5	Running a .py file from Java
Q9	5	Persisting sha256 hash objects?
Q10	5	Stanford CoreNLP python interface installation errors
