Number	Votes	Question
Q1	9	EOFException in Retrofit while executing synchronous PUT requests
Q2	9	JAX-RS HATEOAS Using Jersey  Unwanted Link properties in JSON
Q3	9	How to use Asynchronous Callbacks in Jersey 2 in tomcat 7
Q4	6	Can&#39;t Deserialize JSON in Java Servlet
Q5	6	Is RestTemplate thread safe?
Q6	5	How to create and connect related resources using Spring Data REST repositories?
Q7	5	spring 4 vs jersey for rest webservices
Q8	5	JPA Transient Annotation and JSON
Q9	5	Implementing custom methods of Spring Data repository and exposing them through REST
Q10	5	How to get the content of an Assignment in Sakai via REST
