Number	Votes	Question
Q1	4	Messy REST annotations
Q2	4	RESTEasy Client + NoSuchMethodError
Q3	4	jpa2 reuses entityManager with guice
Q4	3	RESTEasy client. could not find writer for content-type application/xml
Q5	2	RESTeasy client code for attaching a file
Q6	2	@Consumes doesn&#39;t work with JSON
Q7	2	In Java  how do I return meaningful  JSON formatted errors from Resteasy validation?
Q8	2	IOException: Access denied when using java resteasy-multipart-provider
Q9	2	RestEasy - ResteasyServletInitializer fail
Q10	2	Resteasy @FormParam null when passing params with AngularJS
