Number	Votes	Question
Q1	3	What is wrong with this camera rotation algorithm?
Q2	3	Android for loop not working in main thread
Q3	3	Smooth rotation with quaternions
Q4	3	Rotate object to face point
Q5	3	Rotation - lack of precision - Java
Q6	3	Rotate video with mp4parser according to the camera used
Q7	2	PVector Heading() for 3D Rotation
Q8	2	Android make an element only present in portrait view
Q9	2	Latest OSX Java update (7u55) appears to break rotated text for applets
Q10	2	Java Help! paintComponent woes
