Number	Votes	Question
Q1	17	Unity3D Android Build Error WIN32 Exception ZipAlign
Q2	4	How to fix error: package android.support.v4.app does not exist ; in Android studio 0.8
Q3	3	Android Only compiling with API 20: Android 4.4 (KitKat Wear)
Q4	3	vuforia AR SDK - can&#39;t play video by url
Q5	3	Facebook friend picker SDK sample not working Android
Q6	3	Android Studio doesn&#39;t find com.android.support:support-v4:19.1.0
Q7	2	Mapquest Open Geocoding Service Java API or SDK
Q8	2	Android app SDK: exclude status bar from transition&#39;s animation
Q9	2	Parse Local Datastore: I can&#39;t access ACL secured objects from the network after force closing the app? (Android)
Q10	2	how can I create a new project without appcompat_v7
