Number	Votes	Question
Q1	4	Catch-all servlet filter that should capture ALL HTML input content for manipulation  works only intermittently
Q2	3	Use abstract class for instance variable in Spring
Q3	3	MessageResources weird behaviour
Q4	3	What would be the flow order if I include multiple struts config file in the project
Q5	3	How to load select options value dynamic in javascript
Q6	3	Turning off autoProcessQueue in Dropzone.js causes null files to be submitted
Q7	3	Where should i put my uploaded images on server in java application?
Q8	2	Re-assign value tag after first form submission?
Q9	2	Confusion in Struts MVC architecture
Q10	2	java.lang.NullPointerException at object instantiation
