Number	Votes	Question
Q1	5	Opposite tag to @Override in Java
Q2	4	cast on object of type superclass returns object of type subclass in java
Q3	4	Jackson serialization: how to ignore superclass properties
Q4	4	Varargs of type Class in Java
Q5	4	Inheritance: weaker accessibility of a method in subclass
Q6	3	Should you use the superclass constructor to set variables?
Q7	3	Java : Super class array object assigned with sub class array object
Q8	3	Is it possible to have a class have more than one superclass?
Q9	3	How can my subclass properly inherit a static variable
Q10	2	Different implementations for abstract class in Java
