Number	Votes	Question
Q1	74	Does switch case order affect speed?
Q2	24	How is String in switch statement more efficient than corresponding if-else statement?
Q3	14	Switch Statement Quotes
Q4	13	Why switch on String compiles into two switches
Q5	13	Why we can not define a variable twice in switch?
Q6	8	What is the difference between the two following lines of java code?
Q7	5	Why don&#39;t cases in switch statements have their own scope?
Q8	5	Switch Statement help in Java
Q9	5	Java - avoid switch statements for static functions
Q10	5	Using || in Cases in a Switch?
