Number	Votes	Question
Q1	60	What does the -&gt; &lt;- operator do?
Q2	19	Why does giving explicit type arguments to a non-generic method or constructor compile?
Q3	15	Java syntax - extra plus sign after cast is valid?
Q4	13	Why is `enum of enum of enum..` allowed?
Q5	8	Uncommonly used Java syntax (JavaParser)?
Q6	6	what does a syntax of `.` before generics mean?
Q7	5	What does statement &quot;abc: {..}&quot; mean?
Q8	4	Need explanation on this Java object initialization syntax
Q9	4	Java syntax I do not know
Q10	4	Are underscores allowed in numeric literals in Java?
