Number	Votes	Question
Q1	3	Message are printing after closing the chat
Q2	3	How can I make this statement (within a while-loop) not print out twice to the console?
Q3	2	Java+Eclipse: Strange output when printing long arrays
Q4	2	System.out.print is printing two lines/questions at the same time. What am I doing wrong?
Q5	2	Differences between System.out.printlin() and Return in Java
Q6	2	Error in System.out.println
Q7	2	how does System.out.print() behave in java?
Q8	2	Nested &quot;System.out.print&quot; output
Q9	2	ProcessBuilder.inheritIO() sending output to the wrong place
Q10	2	System.out messed up after Jackson serialization
