Number	Votes	Question
Q1	4	Java hibernate/jpa how to create dynamic generic entity that is self related
Q2	3	Java implement tree search
Q3	3	Why my recursion doesnt work? (Java)
Q4	3	Using a user inputted string of characters find the longest word that can be made
Q5	2	Printing a tree
Q6	2	Traversal of Binary Search Tree via loop instead of Recursion
Q7	2	Recursively assigning positions to node in binary search tree
Q8	2	Binary Tree insert the values in nodes. Java
Q9	2	How to extend an existing Tree (with children  but no parents) to a doubly linked tree?
Q10	2	Data Structure Set  List  Map or Tree?
