Number	Votes	Question
Q1	23	Eclipse(Android Bundle) Crashing
Q2	13	Who sends a SIGKILL to my process mysteriously on ubuntu server
Q3	6	Tomcat7 starts too late on Ubuntu 14.04 x64 [Digitalocean]
Q4	5	Desktop browse does not work in java for Ubuntu
Q5	4	Why is eclipse eating almost all of CPU for no apparent reason
Q6	3	Java Converting date to epoch value produces false output
Q7	3	Installing JNLP on Ubuntu for Open JDK 7
Q8	3	Look &amp; Feel troubles on Ubuntu
Q9	3	maven cargo deploy to war file fails to deploy as part of teamcity
Q10	3	how to set the environment variable ANT_OPTS in ubuntu?
