Number	Votes	Question
Q1	16	Which subset of Unicode symbols should I use to mark special substrings in text?
Q2	6	How to get character by its (unicode) name in Java?
Q3	5	Detect Chinese character in java
Q4	4	why SpEL not support unicode variable ? How to work around?
Q5	4	\\u in Java comment is leading to error message  why?
Q6	4	Emoji Unicode in regular expression with variable number of groups
Q7	4	Unicode escape syntax in java
Q8	3	How can a 21 byte UTF-8 sequence come from just 5 characters?
Q9	3	Load Html file with UTF8 encoding from assets into a TextView
Q10	3	Zalgo text in Java?
