Number	Votes	Question
Q1	6	open url in existing browser/tab in java
Q2	4	How URLs are write once?
Q3	4	How to check if URL is blocked by my firewall
Q4	4	Why is exception not thrown when the connection is terminated?
Q5	4	URL illegal argument exception in java
Q6	4	Copying files from a remote address seems to loose information
Q7	4	An example of URL which cannot be converted .toURI()?
Q8	4	difference between %20 and %2 in url
Q9	3	Registering and using a custom java.net.URL protocol
Q10	3	Java dot doesn&#39;t match &#39;any character&#39;
