Number	Votes	Question
Q1	9	how to insert the ? sign into a string
Q2	7	Incorrect String value without &quot;?characterEncoding=UTF-8&quot;
Q3	5	Detect Chinese character in java
Q4	5	Java 8 UTF-8 encoding issue (java bug?)
Q5	4	Change encoding from T1
Q6	4	java utils.Properties how to ignore BOM char
Q7	4	how can it be possible getting the same string from different bytes data in java?
Q8	3	How can a 21 byte UTF-8 sequence come from just 5 characters?
Q9	3	Load Html file with UTF8 encoding from assets into a TextView
Q10	3	Replacing Emoji Unicode Range from Arabic Tweets using Java
