Number	Votes	Question
Q1	4	Valo is *huge*. Scale down to Reindeer size? (Vaadin 7 look-and-feel themes)
Q2	4	Open pdf file from menubar using Vaadin
Q3	4	Vaadin With Grails
Q4	4	How to get all sessions in Vaadin
Q5	4	Vaadin open link in new tab
Q6	3	Why can&#39;t I see an image inside the WEB-INF/classes directory in Tomcat?
Q7	3	How to create a complex header in vaadin 7?
Q8	3	Shiro LDAP Authorization config
Q9	3	How to bind validators to TextFields in vaadin?
Q10	3	Which scope to use with vaadin and spring?
