Number	Votes	Question
Q1	8	Accessing Static Final Fields in Inner Classes in Java
Q2	5	Why do we sometimes use hexadecimal format over decimal?
Q3	5	Duplicate local variable(For Loops)
Q4	5	Difference between initialization of final class variable
Q5	4	Accessing variable of a method in superclass
Q6	3	Permanent change of a variable in static method
Q7	3	How do you prompt a user for an input in java
Q8	3	Optimizing use of variables for values that are only used once
Q9	3	Why java final variable showing unreachable Statement
Q10	3	How is my final array being modified?
