Number	Votes	Question
Q1	4	ArrayList vs Vector : Which one to use?
Q2	3	Find two perpendicular vectors out of another vector
Q3	3	How to join data of two vectors efficiently in java me?
Q4	3	How to parse a CSV file so that can be classified by Mahout
Q5	3	How memory allocation work for Array and vectors?
Q6	2	Methods in Java API for Lotus Notes returns Vector and not ArrayList
Q7	2	Vector.setSize and Vector.capacity returning different things
Q8	2	LibGDX Box2d getWorldPoint issue
Q9	2	synchronize many Vectors together
Q10	2	Fastest way to take top N closest vectors by cosine distance
