Number	Votes	Question
Q1	4	VideoView onTouch events: pause/resume video  and show/hide MediaController and ActionBar
Q2	4	MediaPlayer seekTo() doesn&#39;t update SurfaceView
Q3	4	Decoding h264 ByteStream on Android
Q4	3	Java - Building communicator what includes video/sound/picture/msg
Q5	3	Merge multiple video file in a file
Q6	3	OpenCV Java binds VideoCapture from file failing silently
Q7	2	Android Video Circular Buffer with Sound
Q8	2	android how play video automatically by intent without press start
Q9	2	Playing video on TextureView taken from front camera
Q10	2	How to convert 7sec Video to Gif Android
