Number	Votes	Question
Q1	12	Why can we reduce visibility of a property in extended class?
Q2	6	Perl shared variables atomicity and visibility
Q3	4	Why is the super method not visible/resolved?
Q4	4	Turn off unused code warning for public functions in IntelliJ
Q5	3	How can a public method return a private type?
Q6	3	How to access this parameter of an object
Q7	3	Adding Contents to JFrame Before Setting Visible
Q8	3	Why can I override a protected method with public method?
Q9	2	Visibility in Java global exception handler
Q10	2	Class-specific method visibility
