Number	Votes	Question
Q1	5	How to know if a web service has started
Q2	5	How to shutdown WAR/EAR programmatically
Q3	5	Java unsupported major minor version 52.0
Q4	4	How can i test a URL is SSL secured
Q5	4	Limit number of users accessing a java web application
Q6	3	Keep session after browser restart java
Q7	3	Java web app: Force browser to load static content (js  css  html) if deployed file changed
Q8	3	creating a src/main/java folder structur in eclipse witout maven
Q9	3	Csrfguard behind a reverse proxy
Q10	3	How search results like Myntra and Jabong are developed?
