Number	Votes	Question
Q1	4	Weka always producing same clusters for different data
Q2	3	define attribute in arff file using java
Q3	3	Can&#39;t run Weka explorer on Ubuntu 14.04
Q4	3	Get prediction percentage in WEKA using own Java code and a model
Q5	2	Creating Weka classifier model without evaluation
Q6	2	WEKA classifier arguments from the command line
Q7	2	Differing number of features in test and training set
Q8	2	WEKA + Java: get class probabilities
Q9	2	using weka with python for loading the classifier model
Q10	2	Weka - combining arff files that have different headers
