Number	Votes	Question
Q1	18	Eclipse doesn&#39;t generate MainActivity.java &amp; activity_main.xml
Q2	12	How to monitor the JVM usage of large memory pages in Windows 7?
Q3	8	Workaround for Java bug which causes crash dump
Q4	7	HBase region server cannot connect with master
Q5	7	How to run HBase in distributed mode on windows without cygwin?
Q6	7	Eclipse - parseSdkContent failed error - not recognizing XML Files
Q7	6	Running Hadoop MR jobs without Admin privilege on Windows
Q8	6	how to find key listener on any where in window
Q9	5	How to make runnable Jar programs that do not fail silently?
Q10	5	Getting binary data directly off the windows clipboard
