Number	Votes	Question
Q1	4	Regarding REST response and XMLElement
Q2	3	XML into data structure in java using sax  stax or DOM
Q3	3	Getting Fatal error when grails app comes up
Q4	3	How to parse unconventional XML files
Q5	3	Error unmarshalling xml in java-8 &quot;secure-processing org.xml.sax.SAXNotRecognizedException causing java.lang.IllegalStateException&quot;
Q6	3	Using a SAX parser when I need a DocumentBuilder
Q7	2	how to get null while parsing xml with geotools parser
Q8	2	How to parse many XML files (with CDATA) in a folder and import to MySQL using Java batch?
Q9	2	Jaxb Unmarshall finds an expected tag and fails because it&#39;s unexpected
Q10	2	WSDL parsing using XSOMParser error
