Number	Votes	Question
Q1	12	Change color of Switch in Android
Q2	9	How to add &lt;![CDATA[ and ]]&gt; in XML prepared by Jaxb
Q3	8	blank space when scaling imageview in gridview
Q4	7	Eclipse - parseSdkContent failed error - not recognizing XML Files
Q5	6	Spring Security Warning: Class AuthorityUtils is abstract?
Q6	6	Eclipse unable to clean build output
Q7	6	Huge XML file to text files
Q8	5	Android Lollipop Material Design Overflow Menu Icon color
Q9	5	Stuck up with JAXB - unmarshal XML exception
Q10	5	How to serialize Java 2D Shape objects as XML?
