Number	Votes	Question
Q1	3	How do you access an attachment stored as MIME Part?
Q2	3	How to deploy java.policy changes in IBM Notes
Q3	3	comboBox with Integer values
Q4	2	Javabean error trapping/handling
Q5	2	Dynamically setting and getting bean properties in XPages
Q6	2	Force Java runtime to use Jar in NSF instead of Jar on server of same name for XPages application
Q7	2	Comparing a NotesDateTime in JAVA
Q8	2	Calling C code from server-side javascript/java in Xpages?
Q9	2	Unexpected result when creating Getters/Setters
Q10	2	Views containing calculated values (category totals) not shown in XPages
